Timeline,Start time,Duration,Row,Instance number,Collective Coordination,Cutting & Screeing,DM Catch,Driving,Finishing,Footwork,Passing,Points,Positioning,QB12 DM,Relocation,Shot Location,Shot Outcome,Shot Specific,Space Read,Transition,Ungrouped
10.12.25 MIA v ORL Team,3979.808170055660,16.497917302011000,Miami Heat,61,,,+ve DM Catch: Uncontested Shot,+ve Driving: Paint Touch,,,,,+ve Positioning - Create Shape,+ve QB12: Weak Side,,3pt,Miss Long,9z2,+ve Space Read: Live Dribble,-ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,3994.4080514036500,4.189188687351360,Miami Heat,62,,,,,+ve Finishing: Read the Length,,,,,,,Short 2,Made,4z3,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,4314.124730596300,12.204617501693100,Miami Heat,63,,,,,+ve Finishing: Read the Length,,+ve Passing: Teammate on the Move,,+ve Positioning - Create Shape,+ve QB12: Roller,,Short 2,Made,5z5,,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,4339.021587270650,9.40529242034063,Miami Heat,64,,,,,-ve Finishing: Ball Security,,,,,,-ve Relocate: Dunker- Baseline Cut,,,,,+ve Transition: Effort and Pace,"Turnover, Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,4556.730763822660,9.697298195332220,Miami Heat,65,,,,,,,,,,,,,,,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,4581.2270763103400,6.898054914639940,Miami Heat,66,,,,+ve Driving: Paint Touch,,,,,,,"-ve Relocate: 45 Cut, -ve Relocate: Fill Behind",,,,+ve Space Read: Catch,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,4602.7295065186300,11.599081805688000,Miami Heat,67,,,"+ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass",+ve Driving: Paint Touch,-ve Finishing: Read the Length,,,,+ve Positioning - Create Shape,"-ve QB12: Cutter, -ve QB12: Weak Side","+ve Relocate: 45 Cut, +ve Relocate: Corner Fill",Short 2,Miss Long,6z4,+ve Space Read: Catch,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,4627.026826563990,10.000115112351500,Miami Heat,68,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill",-ve DM Catch: Uncontested Shot,,,,,,,+ve QB12: Fill Behind,,3pt,Miss Short,8z2,+ve Space Read: Catch,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,4653.4269732123400,5.400131229645010,Miami Heat,69,,,+ve DM Catch: Uncontested Shot,,,,,,,,,3pt,Miss Long,7z11,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,4675.125729898670,8.502135381349040,Miami Heat,70,,,,,"+ve Finishing: Stride Pivot, +ve Finishing: Earn a Foul",,,,,-ve QB12: Cutter,,Short 2,Made,4z5,,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
